pstlcode,latitude,longitude
K0A1N0,45.530582,-75.239914
K0A1W0,45.322052,-75.283836
K0A3N0,45.512241,-75.156326
K0G1J0,44.982868,-75.512291
K0K1V0,44.240929,-77.421577
K1A0A9,45.423134,-75.69899
K1A0B4,45.375889,-75.691078
K1A0C6,45.395458,-75.712112
K1A0C7,45.395458,-75.712112
K1A0C8,45.418144,-75.700218
K1A0E6,45.417278,-75.701057
K1A0G1,45.400051,-75.705009
K1A0K4,45.343914,-75.593735
K1A0N7,45.4179,-75.702858
K1A0N8,45.419765,-75.70433
K1A0P5,45.386578,-75.680145
K1A0R1,45.416901,-75.702003
K1A0Y3,45.400051,-75.705009
K1A0Y9,45.363968,-75.737236
K1A1G5,45.400051,-75.705009
K1A1H5,45.418678,-75.702263
K1A1J9,45.425819,-75.689613
K1B1C2,45.429703,-75.567368
K1B1E1,45.424469,-75.599312
K1B3C1,45.4333,-75.567436
K1B3C4,45.43383,-75.568611
K1B3G4,45.438984,-75.568932
K1B3G7,45.437771,-75.570038
K1B3H9,45.438889,-75.567986
K1B3J2,45.437035,-75.565506
K1B3J4,45.435486,-75.564804
K1B3L6,45.420944,-75.604706
K1B3P6,45.417896,-75.628639
K1B3R5,45.414715,-75.62796
K1B3S1,45.414654,-75.628197
K1B3S3,45.412384,-75.627907
K1B3W3,45.401955,-75.606285
K1B3W5,45.418831,-75.617355
K1B3W9,45.401688,-75.623184
K1B3X8,45.437302,-75.567665
K1B3Y1,45.428844,-75.568504
K1B3Z1,45.428299,-75.567833
K1B3Z7,45.43515,-75.557526
K1B4C2,45.435818,-75.561813
K1B4C4,45.427052,-75.575928
K1B4E4,45.403969,-75.608826
K1B4E9,45.439034,-75.573158
K1B4H3,45.394005,-75.606575
K1B4H5,45.396652,-75.610168
K1B4H9,45.397099,-75.610718
K1B4J2,45.395626,-75.60965
K1B4L4,45.416534,-75.608688
K1B4L7,45.399147,-75.616547
K1B4M5,45.435936,-75.550774
K1B4M8,45.435867,-75.55101
K1B4N6,45.432713,-75.557671
K1B4N8,45.420872,-75.598892
K1B4V5,45.412758,-75.611534
K1B4Y6,45.433075,-75.556221
K1B4Z8,45.433224,-75.559029
K1B5B2,45.434566,-75.555229
K1B5C3,45.420944,-75.604706
K1B5E1,45.424747,-75.610649
K1B5G3,45.422379,-75.609222
K1B5H2,45.427399,-75.611877
K1B5H4,45.425262,-75.613182
K1B5J3,45.420174,-75.610283
K1B5K1,45.420944,-75.604706
K1B5K8,45.41787,-75.60424
K1B5M1,45.403908,-75.61319
K1B5M4,45.420891,-75.611282
K1C0A6,45.481556,-75.547165
K1C0B2,45.480076,-75.527145
K1C0C2,45.446484,-75.534584
K1C1A2,45.474998,-75.523048
K1C1A3,45.476234,-75.521095
K1C1C2,45.468067,-75.536789
K1C1C6,45.467972,-75.538651
K1C1J8,45.455788,-75.513908
K1C1K1,45.453705,-75.512741
K1C1L3,45.475571,-75.523033
K1C1M1,45.469765,-75.520523
K1C1M4,45.467037,-75.519287
K1C1N4,45.454578,-75.514336
K1C1N9,45.470058,-75.525139
K1C1P9,45.462563,-75.530128
K1C1R6,45.468941,-75.53849
