fsa,LDU,latitude,longitude,distance_min
K1C,1S2,45.463947,-75.542763,0.12933800012906854
K1J,8K3,45.44907,-75.602348,0.4510529949919512
K1L,5J7,45.441502,-75.665413,0.6713821257459148
K1N,9N5,45.24078,-75.632858,3.4250370521674918
K1T,1N4,45.348404,-75.626549,0.1676621368954578
K1V,8N6,45.362514,-75.679176,1.4448966901122766
K2H,9N8,45.313084,-75.827873,1.0122057556311892
K2L,1J6,45.29681,-75.8759,0.6288684339043438
K2T,0E9,45.325878,-75.931183,1.867092063592488
K4K,1K5,45.547077,-75.293037,0.37813187912599616
K4R,1B6,45.261593,-75.352341,0.6720233829409563
K7L,0G1,44.232765,-76.506035,0.6184274811462613
K8N,2G1,44.174133,-77.35556,0.7003639770053458
K8N,3S6,44.171143,-77.373863,1.0848792058700907
K8N,4K7,44.177235,-77.354614,1.0324150474404263
K8P,1V2,44.168919,-77.389771,0.6097968632500944
K8P,3H4,44.170902,-77.389496,0.6425136449706129
K9J,4T4,44.300694,-78.341171,1.0284816060775959
K9J,6Z8,44.313187,-78.322052,0.6960724710080625
L1B,1J6,43.921913,-78.584938,0.6468265453694128
L1C,2B5,43.919865,-78.692688,0.7915960143370114
L1G,3E1,43.922367,-78.867058,0.8167318662150991
L1H,6J3,43.895412,-78.836609,0.9059926847960542
L1J,3A4,43.907135,-78.880569,0.9207610752113905
L1K,1L3,43.913578,-78.834145,1.484960099494351
L1N,3S7,43.888081,-78.922554,0.9349340447081501
L1N,9Y4,43.901783,-78.940125,0.16795411259327198
L1V,5H5,43.839222,-79.112495,1.24746852934353
L1V,6A4,43.818531,-79.121376,0.37874441499074296
L1W,3K8,43.805626,-79.116997,0.8805637829593368
L2A,3N7,42.912209,-78.914635,0.44431688184296014
L2H,2G1,43.085201,-79.130592,1.6081936204074783
L2M,3X9,43.19672,-79.207214,1.2463633725571281
L2R,4J1,43.153095,-79.237396,0.7604938874105878
L2R,6A5,43.174931,-79.252716,0.7408015109513578
L3P,0C3,43.875046,-79.259521,0.052453115689224325
L3P,6A2,43.894157,-79.245033,0.5716289606189017
L3R,2J3,43.861439,-79.31778,0.42212947639080095
L3R,7X7,43.86319,-79.337212,0.614595166395409
L3X,1X4,44.035439,-79.475716,0.13827513090364588
L3Y,2R4,44.062237,-79.44706,0.43506925957485026
L4C,2X7,43.889702,-79.429817,0.9840912331911797
L4E,1B4,43.916794,-79.446976,0.3664818861775015
L4K,4R8,43.83569,-79.501602,1.5325472487461913
L4L,7T1,43.802876,-79.555603,1.4522350610538692
L4M,6B5,44.402153,-79.651649,1.8268929367238222
L4N,6T4,44.386684,-79.691635,0.36687669315624416
L4Y,2K2,43.608479,-79.597137,0.4659733872951205
L5E,2X9,43.600845,-79.563759,0.9633856574997725
L5H,2K1,43.552265,-79.617088,2.097508681314273
L5M,7B4,43.550148,-79.750648,1.1744119453236952
L5N,7R2,43.623081,-79.738861,0.9141230459765162
L6L,1H8,43.393452,-79.712585,0.5583422291311355
L6M,1L2,43.44503,-79.721565,1.3655819403428548
L6M,5G2,43.425617,-79.761101,0.5006555188185209
L6P,1E9,43.777702,-79.730957,0.9671496357925374
L6P,2K1,43.787113,-79.753006,0.5972808317412548
L6Y,0K3,43.634563,-79.757439,0.9652942690753383
L6Z,1H4,43.727936,-79.789307,0.5628572623339348
L6Z,4V2,43.737423,-79.826363,0.28608873640269
L7G,4C7,43.644337,-79.90834,0.7701748289488967
L8E,2X4,43.238216,-79.759766,0.45230246134025787
L8E,6C4,43.222637,-79.629486,2.4106942094099884
L8J,1S5,43.201412,-79.799072,1.4136728403759997
L8N,1B1,43.255184,-79.864807,0.2613514704921737
L8N,1N8,43.253307,-79.869095,0.15705342719943646
L8T,2E3,43.219574,-79.828835,0.611868122515648
L8T,3W5,43.219707,-79.830635,0.6126688717637474
L8W,1H4,43.205673,-79.843506,0.7886720530063752
